customer_unique_id,order_count,lifetime_revenue
0a0a92112bd4c708ca5fde585afaa872,1,13664.08
da122df9eeddfedc1dc1f5349a1a690c,2,7571.63
763c8b1c9c68a0229c42c9fc6f662b93,1,7274.88
dc4802a71eae9be1dd28f5d788ceb526,1,6929.31
459bef486812aa25204be022145caa62,1,6922.21
ff4159b92c40ebe40454e3e6a7c35ed6,1,6726.66
4007669dec559734d6f53e029e360987,1,6081.54
5d0a2980b292d049061542014e8960bf,1,4809.44
eebb5dda148d3893cdaf5b5ca3040ccb,1,4764.34
48e1ac109decbb87765a3eade6854098,1,4681.78
c8460e4251689ba205045f3ea17884a1,4,4655.88
edde2314c6c30e864a128ac95d6b2112,1,4513.32
a229eba70ec1c2abef51f04987deb7a5,1,4445.50
edf81e1f3070b9dac83ec83dacdbb9bc,1,4194.76
fa562ef24d41361e476e748681810e1e,1,4175.26
ca27f3dac28fb1063faddd424c9d95fa,1,4163.51
055ec572ac7f3c7bdd04a183830ebe59,2,4053.08
5e713be0853d8986528d7869a0811d2b,1,4042.74
58483a1c055dfb600f57c5b867174542,1,4034.44
011875f0176909c5cf0b14a9138bb691,1,4016.91
f0767ae738c3d90e7b737d7b8b8bb4d1,1,3979.55
bc5e25094a7d51b6aee35236572e64f4,1,3826.80
3fec1a05177762f279472253113d568a,1,3792.59
5d09b0d82126457e2a8ebfb9c9a1ffc4,1,3736.22
931eabdf0636b8fd60369a8d759917d6,1,3666.42
