seller_key,revenue,avg_revenue,difference
4869f7a5dfa277a7dca6462dcf3b52b2,249640.70,5119.0802067851373183,244521.6197932148626817
7c67e1448b00f6e969d365cea6b010ab,239536.44,5119.0802067851373183,234417.3597932148626817
53243585a1d6dc2643021fd1853d8905,235856.68,5119.0802067851373183,230737.5997932148626817
4a3ca9315b744ce9f8e9374361493884,235539.96,5119.0802067851373183,230420.8797932148626817
fa1c13f2614d7b5c4749cbc52fecda94,204084.73,5119.0802067851373183,198965.6497932148626817
da8622b14eb17ae2831f4ac5b9dab84a,185192.32,5119.0802067851373183,180073.2397932148626817
7e93a43ef30c4f03f38b393420bc753a,182754.05,5119.0802067851373183,177634.9697932148626817
1025f0e2d44d7041d6cf58b6550e0bfa,172860.69,5119.0802067851373183,167741.6097932148626817
7a67c85e85bb2ce8582c35f2203ad736,162648.38,5119.0802067851373183,157529.2997932148626817
955fee9216a65b617aa5c0531780ce60,160602.68,5119.0802067851373183,155483.5997932148626817
6560211a19b47992c3666cc44a7e94c0,151265.77,5119.0802067851373183,146146.6897932148626817
1f50f920176fa81dab994f9023523100,142104.98,5119.0802067851373183,136985.8997932148626817
46dc3b2cc0980fb8ec44634e21d2718e,139909.69,5119.0802067851373183,134790.6097932148626817
a1043bafd471dff536d0c462352beb48,133745.25,5119.0802067851373183,128626.1697932148626817
cc419e0650a3c5ba77189a1882b7556a,129957.41,5119.0802067851373183,124838.3297932148626817
620c87c171fb2a6dd6e8bb4dec959fc6,128909.71,5119.0802067851373183,123790.6297932148626817
5dceca129747e92ff8ef7a997dc4f8ca,125816.92,5119.0802067851373183,120697.8397932148626817
7d13fca15225358621be4086e1eb0964,122261.02,5119.0802067851373183,117141.9397932148626817
3d871de0142ce09b7081e2b9d1733cb1,117347.71,5119.0802067851373183,112228.6297932148626817
edb1ef5e36e0c8cd84eb3c9b003e486d,83189.65,5119.0802067851373183,78070.5697932148626817
ccc4bbb5f32a6ab2b7066a4130f114e3,79261.60,5119.0802067851373183,74142.5197932148626817
cca3071e3e9bb7d12640c9fbe2301306,78381.29,5119.0802067851373183,73262.2097932148626817
8581055ce74af1daba164fdbd55a40de,74584.30,5119.0802067851373183,69465.2197932148626817
f7ba60f8c3f99e7ee4042fdef03b70c4,72736.01,5119.0802067851373183,67616.9297932148626817
fe2032dab1a61af8794248c8196565c9,70680.95,5119.0802067851373183,65561.8697932148626817
